Carrithers, Luke	G	NA	NA	?	USA	
Schairer, Luke	D	6'2	187	R	USA	
Dagenais, Maddox	C	6'2	181	L	CAN	
Labre, Maddox	D	6'2	179	R	CAN	
Fomin, Makar	D	5'11	165	R	RUS	
Corovic, Maksim	G	NA	NA	?	UNK	
Sokolovskii, Maksim	D	NA	NA	?	RUS	
Gastrin, Malcom	LW	NA	NA	?	SWE	
Gustafsson, Malte	D	6'4	190	L	SWE	
Gudmundsson, Mans	D	NA	NA	?	SWE	2008-06-09
Josbrant, Mans	LW	5'10	172	L	SWE	
Nordmark, Marcus	RW	6'1	183	L	SWE	
Ruck, Marcus	LW	5'11	168	L	CAN	
Sklenicka, Marek	G	NA	NA	?	CZE	
Psohlavec, Martin	G	NA	NA	?	CZE	
Svec, Martin	C	5'10	174	R	CZE	
Klaucans, Martins	LW	6'0	181	L	LAT	
Kraft, Mason	LW	5'11	190	R	USA	
Kubiesa, Matej	RW	NA	NA	?	CZE	
Mikes, Matej	C	6'3	205	L	CZE	
Pekar, Matej	C	5'10	168	R	CZE	
Preston, Mathis	RW	5'11	168	R	CAN	
Vanhanen, Matias	C	5'10	170	R	FIN	
Humphries, Matthew	G	NA	NA	?	CAN	
Minchak, Matthew	G	NA	NA	?	USA	
Lisy, Matus	D	6'1	181	R	SVK	
Kotkov, Matvei	LW	5'11	154	L	RUS	
Karasyov, Matvey	D	NA	NA	?	RUS	
Karbainov, Matvey	G	NA	NA	?	RUS	
Man, Matyas	D	NA	NA	?	CAN	
Isaksson, Max	C	6'0	183	L	SWE	
Laatikainen, Max	D	5'10	157	R	FIN	
Zaitsev, Maxim	LW	6'1	161	R	RUS	
Larsson, Melwin	LW	NA	NA	?	SWE	
Dec, Michael	C	5'9	152	R	CAN	
Capos, Michal	D	6'5	216	L	SVK	
Jakubec, Michal	C	NA	NA	?	SVK	
Ondrejcak, Michal	LW	NA	NA	?	SVK	
Myloserdnyy, Michel	D	NA	NA	?	CAN	
Kim, Mikael	C	NA	NA	?	SWE	
Aeschlimann, Mike	C	6'2	183	L	SUI	
Berchild, Mikey	LW	5'9	172	L	USA	
Gamzakov, Mikhail	D	5'11	165	R	RUS	
Katin, Mikhail	D	6'4	205	R	RUS	
Khabarov, Mikhail	D	NA	NA	?	RUS	
Povarov, Mikhail	G	NA	NA	?	RUS	
Vatjus, Miko	C	NA	NA	?	FIN	
Tjarnlund, Milo	G	NA	NA	?	SWE	
Carpenhammar, Milton	C	NA	NA	?	SWE	
Anderberg, Morgan	C	5'11	174	L	SWE	
Yellowaga, Nate	D	5'11	168	L	CAN	
Amidovski, Nathan	C	6'2	170	L	CAN	
Brisson, Nathan	LW	5'11	179	R	CAN	
Brown, Nathan	LW	NA	NA	?	CAN	
Lecompte, Nathan	C	5'10	165	L	CAN	
Johnson, Neilan	G	NA	NA	?	USA	
Whitehead, Nic	C	5'10	167	R	USA	
Bogas, Nicholas	D	NA	NA	?	USA	
Frasca, Nick	D	6'1	185	L	CAN	
Sykora, Nicolas	C	6'0	174	R	USA	
Fedotov, Nikita	D	6'0	174	R	RUS	
Gromakov, Nikita	RW	NA	NA	?	RUS	
Klepov, Nikita	LW	6'0	181	L	USA	
Klyopov, Nikita	LW	5'11	161	L	RUS	
Ovcharov, Nikita	LW	6'2	196	R	RUS	
Poltavchuk, Nikita	D	5'11	161	R	RUS	
Shcherbakov, Nikita	C	6'0	172	L	RUS	
Voiaga, Nikita	D	NA	NA	?	CAN	
Aaram-Olsen, Niklas	LW	6'1	179	L	SWE	
Nykyri, Niklas	D	6'2	190	R	FIN	
Nikulshin, Nikolai	G	NA	NA	?	RUS	
Bartholdsson, Nils	RW	5'9	165	R	SWE	
Taamu, Noa	D	6'2	238	R	USA	
Degenstein, Noah	C	6'4	210	R	CAN	
Jenken, Noah	D	6'3	190	R	CAN	
Kosick, Noah	C	5'10	150	L	CAN	
McKinnon, Noah	D	5'9	174	R	CAN	
Pakarinen, Noel	LW	NA	NA	?	FIN	2008-07-09
Stewart, Nolan	RW	NA	NA	?	CAN	
Geerdes, Nolen	D	6'0	183	R	USA	
Juntunen, Oiva	LW	NA	NA	?	FIN	
Palme, Ola	D	6'0	181	L	SWE	
Kulebiakin, Oleg	RW	NA	NA	?	RUS	
Larsen, Oliver	LW	NA	NA	?	SWE	
Suvanto, Oliver	C	6'3	209	L	FIN	
Turner, Oliver	D	6'5	205	L	CAN	
Murnieks, Olivers	C	6'1	194	L	LAT	
Groulx, Olivier	LW	6'1	187	R	CAN	
Sjöström, Oliwer	D	6'0	173	R	SWE	
Tideman, Olle	D	NA	NA	?	SWE	
Wahlroos, Olli	LW	6'0	187	L	FIN	
Ruml, Ondrej	D	NA	NA	?	CAN	
Stebetak, Ondrej	G	NA	NA	?	CAN	
Szarowski, Ondrej	D	NA	NA	?	CZE	
Kalto, Onni	LW	6'2	192	R	FIN	
Keltikangas, Onni	C	NA	NA	?	FIN	
Hemming, Oscar	LW	6'3	187	L	FIN	
Holmertz, Oscar	C	6'0	183	L	SWE	
Olsson, Oscar	LW	NA	NA	?	SWE	
Conrad, Owen	D	6'3	209	R	CAN	
Schoettler, Owen	C	6'0	185	L	CAN	
Fagan, PJ	C	6'1	205	R	CAN	
Snelgrove, Parker	C	6'0	190	R	CAN	
Snell, Parker	G	NA	NA	?	CAN	
Trottier, Parker	LW	6'0	170	L	USA	
Vaughn, Parker	RW	6'1	190	R	CAN	
Richter, Parker Von	D	6'1	194	L	CAN	
Kerkola, Patrik	G	NA	NA	?	FIN	
Rusznyak, Patrik	D	6'4	203	L	SVK	
Plumins, Patriks	G	NA	NA	?	UNK	
Denisov, Pavel	D	NA	NA	?	RUS	
Kurka, Pavel	D	NA	NA	?	CZE	
Sidorov, Pavel	RW	NA	NA	?	RUS	
Veilleux, Philippe	LW	5'9	165	L	CAN	
Mbuyi, Pierce	LW	5'10	154	L	CAN	
Andersen, Poul	C	6'1	181	L	USA	
Cloutier, Rafael	C	6'3	198	R	CAN	
Courchesne, Rafael	G	NA	NA	?	CAN	
Varosyan, Rafik	LW	NA	NA	?	RUS	
Varosyan, Raflik	LW	6'0	179	L	RUS	
Achermann, Raphael	LW	5'11	172	L	SUI	
Orenas, Rasmus	LW	NA	NA	?	SWE	
Rinne, Rasmus	LW	5'10	174	L	FIN	
Brown, Reed	C	NA	NA	?	CAN	
Hamilton, Reese	D	6'1	170	L	CAN	
Chudzinski, Rian	RW	6'1	190	L	USA	
Zemlicka, Richard	C	NA	NA	?	USA	
Carey, Rider	C	6'0	176	R	CAN	
Boychuk, Riley	RW	5'9	161	R	CAN	
Steen, Riley	D	NA	NA	?	CAN	
Kaiser, Rio	D	6'7	201	R	GER	
Henriquez, Roberto	G	NA	NA	?	USA	
Antenen, Robin	LW	6'2	194	R	SUI	
Langvardt, Rocky	D	NA	NA	?	SWE	
Cernak, Roderik	D	NA	NA	?	SVK	
L'Italien, Romain	C	6'1	181	R	CAN	
Laman, Roman	C	NA	NA	?	RUS	
Henderson, Rowan	LW	NA	NA	?	CAN	
Berzkalns, Rudolfs	LW	6'2	192	L	LAT	
Karimov, Ruslan	RW	6'0	201	R	RUS	
Brown, Ryan	LW	5'11	172	L	CAN	
Cameron, Ryan	G	NA	NA	?	USA	
Lin, Ryan	D	5'11	174	R	CAN	
Roobroeck, Ryan	C	6'4	190	L	CAN	
Fetterolf, Ryder	G	NA	NA	?	CAN	
Singh, Rylan	D	5'11	187	R	CAN	
Kostilainen, Sakari	LW	NA	NA	?	FIN	
Alalauri, Samu	D	6'2	198	R	FIN	
Eriksson, Samuel	D	NA	NA	?	SWE	
